top - 17:30:43 up  3:02,  2 users,  load average: 0.00, 0.04, 0.05
Tasks: 480 total,   1 running, 476 sleeping,   2 stopped,   1 zombie
%Cpu(s):  1.2 us,  0.6 sy,  0.1 ni, 97.3 id,  0.8 wa,  0.0 hi,  0.0 si,  0.0 st
KiB Mem:   2035884 total,  1027580 used,  1008304 free,    78016 buffers
KiB Swap:  2094076 total,        0 used,  2094076 free.   356908 cached Mem

   PID USER      PR  NI    VIRT    RES    SHR S %CPU %MEM     TIME+ COMMAND
  3238 mascot    20   0   29296   3164   2492 R 11.6  0.2   0:00.03 top
  2780 mascot    20   0  555960  30628  21716 S  5.8  1.5   0:13.82 gnome-terminal
     1 root      20   0   33872   4448   2760 S  0.0  0.2   0:03.46 init
     2 root      20   0       0      0      0 S  0.0  0.0   0:00.06 kthreadd
     3 root      20   0       0      0      0 S  0.0  0.0   0:00.29 ksoftirqd/0
     5 root       0 -20       0      0      0 S  0.0  0.0   0:00.00 kworker/0:0H
     7 root      20   0       0      0      0 S  0.0  0.0   0:02.80 rcu_sched
     8 root      20   0       0      0      0 S  0.0  0.0   0:01.19 rcuos/0
     9 root      20   0       0      0      0 S  0.0  0.0   0:00.00 rcuos/1
    10 root      20   0       0      0      0 S  0.0  0.0   0:00.00 rcuos/2
    11 root      20   0       0      0      0 S  0.0  0.0   0:00.00 rcuos/3
    12 root      20   0       0      0      0 S  0.0  0.0   0:00.00 rcuos/4
    13 root      20   0       0      0      0 S  0.0  0.0   0:00.00 rcuos/5
    14 root      20   0       0      0      0 S  0.0  0.0   0:00.00 rcuos/6
    15 root      20   0       0      0      0 S  0.0  0.0   0:00.00 rcuos/7
    16 root      20   0       0      0      0 S  0.0  0.0   0:00.00 rcuos/8
    17 root      20   0       0      0      0 S  0.0  0.0   0:00.00 rcuos/9
    18 root      20   0       0      0      0 S  0.0  0.0   0:00.00 rcuos/10
    19 root      20   0       0      0      0 S  0.0  0.0   0:00.00 rcuos/11
    20 root      20   0       0      0      0 S  0.0  0.0   0:00.00 rcuos/12
    21 root      20   0       0      0      0 S  0.0  0.0   0:00.00 rcuos/13
    22 root      20   0       0      0      0 S  0.0  0.0   0:00.00 rcuos/14
    23 root      20   0       0      0      0 S  0.0  0.0   0:00.00 rcuos/15
    24 root      20   0       0      0      0 S  0.0  0.0   0:00.00 rcuos/16
    25 root      20   0       0      0      0 S  0.0  0.0   0:00.00 rcuos/17
    26 root      20   0       0      0      0 S  0.0  0.0   0:00.00 rcuos/18
